発注者,品名,内容,サイズ,産地,資材名1,資材数1,資材名2,資材数2,資材名3,資材数3,備考
321,((サニー|リーフ)レタス),結束,.*,.*,FG2740,1,野菜結束テープ,2,,,
901トライアル,((サニー|リーフ)?レタス),結束,.*,.*,野菜結束テープ,2,,,,,
.+,ゴボウ,(1kg|袋入れ),.*,.*,FG1295,1,,,,,
.+,ミニトマト,(120g|130g|150g),.*,.*,VF-150AP,1,ミニトマトシール,1,,,
.+,ミニトマト,(170g|180g|200g),.*,.*,VF-200AP,1,ミニトマトシール,1,,,
.+,ミニトマト,(120g|130g|150g|170g|180g|200g),.*,熊本県,産地シール熊本,1,,,,,
.*,ミニトマト,(120g|130g|150g|170g|180g|200g),.*,北海道,産地シール北海道,1,,,,,
885,長葱,(2P|3P),.*,.*,野菜結束テープ,2,,,,,
620,長葱,3Pバラシ→2P,.*,.*,野菜結束テープ,2,,,,,
901,ピーマン,400g,*,*,FG2135,1,,,,,
